Date,Artist,Song Name,Video,Type,Release
11/4/20,Berry Good,Accio,https://youtu.be/rLIFeoEKjU4,Girl,Major
11/4/20,Park Jihoon,Gotcha,https://youtu.be/VuGeHsSRWwo,Boy Solo,Major
11/4/20,Bolbbalgan4,Red Lipstick,https://youtu.be/0ByN6QEk4Sw,Girl Solo,Major
11/4/20,SECRET NUMBER,Got That Boom,https://youtu.be/ljdwsoYTq7I,Girl,Major
11/3/20,GIRLKIND,Psycho 4U,https://youtu.be/fr6WtJ-r0FI,Girl,Major
11/3/20,Mamamoo,AYA,https://youtu.be/UoI9riNffEU,Girl,Major
11/2/20,AB6IX,Salute,https://youtu.be/4mcohMprLZY,Boy,Major
11/2/20,MONSTA X,Love Killa,https://youtu.be/-ToHbHcolfA,Boy,Major
11/2/20,BXK,Fly High,https://youtu.be/D3zIA5xb140,Boy,Major
11/2/20,Hong Jinyoung,Never Ever,https://youtu.be/-s7nUSaV5Hg,Girl Solo,Major
11/1/20,Jung Daehyun,Amazing,https://youtu.be/0m2LjWmC2ds,Boy Solo,Japanese
10/31/20,PRISMA,Breakout,https://youtu.be/17xRBNkMp14,Girl,Major
10/30/20,CL,HWA,https://youtu.be/_6_DE4SIq44,Girl Solo,Major
10/30/20,MINO,Run Away,https://youtu.be/1eWm7NwjGco,Boy Solo,Major
10/28/20,Super Junior-K.R.Y,Traveler,https://youtu.be/ULjCVKeYFyQ,Boy,Japanese
10/28/20,DRIPPIN,Nostalgia,https://youtu.be/BdUCdh7ff9I,Boy,Major
10/28/20,P1Harmony,Siren,https://youtu.be/eKp5CAsKzmg,Boy,Major
10/28/20,JBJ95,Jasmin,https://youtu.be/r-6IygdP3mA,Boy,Major
10/27/20,CIX,Jungle,https://youtu.be/9eqJAKDL2zQ,Boy,Major
10/27/20,T1419,Dracula,https://youtu.be/FskMb_50RgQ,Boy,Special
10/26/20,DKB,Work Hard,https://youtu.be/rjHme7Xq50c,Boy,Major
10/26/20,TXT,Blue Hour,https://youtu.be/Vd9QkWsd5p4,Boy,Major
10/26/20,TWICE,I Can't Stop Me,https://youtu.be/CM4CkVFmTds,Girl,Major
10/22/20,MVP,Every Day,https://youtu.be/Ef-BIOc3M6g,Boy,Major
10/22/20,Song Jieun,Bloom,https://youtu.be/U19dJ_sqlKQ,Girl Solo,Major
10/22/20,Yezi,Memew,https://youtu.be/_HbBrJf_YmA,Girl Solo,Major
10/21/20,Joohoney,Psyche,https://youtu.be/UZ7wrwEZwR0,Boy Solo,Special
10/21/20,AleXa,Revolution,https://youtu.be/UCx_OVfVav0,Girl Solo,Major
10/20/20,Stray Kids,All In,https://youtu.be/ySxIjeCScgY,Boy,Japanese
10/20/20,SAAY,Omega,https://youtu.be/eXpLsUtvAZ0,Girl Solo,Major
10/20/20,D-Crunch,Across The Universe,https://youtu.be/aBWZgySsSsI,Boy,Major
10/20/20,Mamamoo,Dingga,https://youtu.be/dfl9KIX1WpU,Girl,Major
10/19/20,NCT U,From Home,https://youtu.be/3p7s7Rjh4fg,Boy,Major
10/19/20,B1A4,Like a Movie,https://youtu.be/sv53BwhUTC0,Boy,Major
10/19/20,Seventeen,HOME;RUN,https://youtu.be/UB4FzllQCyc,Boy,Major
10/19/20,LOONA,Why Not?,https://youtu.be/b6li05zh3Kg,Girl,Major
10/16/20,Blackswan,Tonight,https://youtu.be/Yb_K5-IIKgg,Girl,Major
10/15/20,M.O.N.T,ANTI-HERO,https://youtu.be/14_ui3p95rk,Boy,Major
10/15/20,Chen (EXO),Hello,https://youtu.be/qJf8Ef4pqQk,Boy Solo,Major
10/14/20,HINT,EH-OH,https://youtu.be/J7DcwzXIVUo,Girl,Major
10/13/20,Verivery,G.B.T.B,https://youtu.be/iDfFtJcj5x4,Boy,Major
10/13/20,Weeekly,Zig Zag,https://youtu.be/1FqAoADnId4,Girl,Major
10/12/20,NCT U,Make a Wish (Birthday Song),https://youtu.be/tyrVtwE8Gv0,Boy,Major
10/12/20,Pentagon,Daisy,https://youtu.be/W7ZIz4w9Edo,Boy,Major
10/10/20,Kiara,Tomboy,https://youtu.be/bEjqJNh1AQY,Girl Solo,Major
10/9/20,Dahye,Poison,https://youtu.be/zTipERjTTmo,Girl Solo,Major
10/9/20,NCT U,Misfit,https://youtu.be/0b-EatqUvb4,Boy,Minor
10/9/20,DAWN,DAWNDIDIDAWN feat. Jessi,https://youtu.be/HDyKwja-htw,Boy Solo,Major
10/8/20,Joohoney,Smokey,https://youtu.be/3ruHs2BKa9M,Boy Solo,Major
10/8/20,HeyGirls,Follow Me (5 member ver.),https://youtu.be/ATxHhCTcA1o,Girl,Special
10/8/20,NCT Dream,Deja Vu,https://youtu.be/QyKe4VXDx5I,Boy,Minor
10/8/20,Kyuhyun,Daystar,https://youtu.be/PS_K1Ypi8B0,Boy Solo,Major
10/8/20,Weki Meki,Cool,https://youtu.be/AHikmx0eVXM,Girl,Major
10/7/20,Joohoney,INTRO : AMBITION,https://youtu.be/ue1QU-vCEKQ,Boy Solo,Special
10/7/20,Stray Kids,God's Menu -Japanese ver.-,https://youtu.be/ReaVFJt1Pjc,Boy,Japanese
10/7/20,Golden Child,Pump It Up,https://youtu.be/L6fODMCfIJ4,Boy,Major
10/7/20,WJSN Chocome,Hmph!,https://youtu.be/4ixa9dRD2bY,Girl,Major
10/6/20,Hayeon,Eyes on you,https://youtu.be/PVIx6VdA8ZU,Girl Solo,Major
10/6/20,IZ*ONE,Beware,https://youtu.be/QqsvrV1_XEA,Girl,Japanese
10/5/20,SF9,Shine Together,https://youtu.be/hjKzGemve24,Boy,Special
10/5/20,NU'EST,DRIVE (Japanese Ver.),https://youtu.be/nDVFMv0QEOE,Boy,Japanese
10/5/20,WEi,Twilight,https://youtu.be/4BYkuPUQoWE,Boy,Major
10/1/20,BLACKPINK,Lovesick Girls,https://youtu.be/dyRsYk0LyA8,Girl,Major
10/1/20,AURA,NOW,https://youtu.be/MgOkuzzQoxQ,Girl,Special
9/28/20,SUPER JUNIOR-D&E,No Love,https://youtu.be/IDMQQ88kjug,Boy,Major
9/27/20,Stray Kids,Any,https://youtu.be/uaJ81czm3xA,Boy,Minor
9/26/20,Y&W,Thirsty Now,https://youtu.be/3rC0W0yxWEw,Boy,Major
9/24/20,SuperM,One (Monster & Infinity),https://youtu.be/-MyvZMiRGvE,Boy,Major
9/24/20,UP10TION,Light,https://youtu.be/SkHSLl-Q-y8,Boy,Major
9/24/20,Onewe,Parting,https://youtu.be/SN7NLdiwcnk,Boy,Major
9/23/20,flor_us,Do not Forget,https://youtu.be/oUusx3n2aSw,Girl,Major
9/23/20,UNVS,Sand Castle,https://youtu.be/Ei-QIja5A4U,Boy,Major
9/23/20,BDC,Shoot The Moon,https://youtu.be/5QkbsWGWVnI,Boy,Major
9/23/20,Ghost9,Think of Dawn,https://youtu.be/9_2AIed7yKM,Boy,Major
9/22/20,Q6ix,Hello Summer,https://youtu.be/m9AELs4l_ps,Girl,Major
9/22/20,Precious,Bebe,https://youtu.be/TmpTfNWaARg,Girl,Major
9/22/20,XUM,DDALALA,https://youtu.be/gQ6ytIcJ-k4,Girl,Major
9/22/20,cignature,Arisong,https://youtu.be/yc-kl9RpRR8,Girl,Major
9/21/20,CHECKMATE,DRUM,https://youtu.be/NR90x3JUIpA,Co-ed,Major
9/21/20,The Boyz,The Stealer,https://youtu.be/c_e-IC0VwZM,Boy,Major
9/21/20,EVERGLOW,LA DI DA,https://youtu.be/jeI992mvlEY,Girl,Major
9/20/20,Stray Kids,Ex,https://youtu.be/rpHztlgROH8,Boy,Minor
9/19/20,Dreamcatcher,Break The Wall,https://youtu.be/TqcPjwKU_zc,Girl,Special
9/18/20,Rockit Girl,Dream Come True,https://youtu.be/FHS7dETx5Vs,Girl,Major
9/18/20,TREASURE,I LOVE YOU,https://youtu.be/_hFarg-Obuc,Boy,Major
9/16/20,KNK,Ride,https://youtu.be/fXCm0GpG29o,Boy,Major
9/16/20,fromis_9,Feel Good (SECRET CODE),https://youtu.be/jLmJhjCzOTw,Girl,Major
9/15/20,B.O.Y,Miss You,https://youtu.be/ICCRduQSWws,Boy,Major
9/14/20,VAV,Made For Two,https://youtu.be/p8h6SUB70c4,Boy,Major
9/14/20,Moonbin & Sanha (ASTRO),Bad Idea,https://youtu.be/CeOGfPANy44,Boy,Major
9/14/20,Stray Kids,Back Door,https://youtu.be/X-uJtV8ScYk,Boy,Major
9/14/20,SNUPER,OXYGEN,https://youtu.be/Yqjos3jYOrU,Boy,Japanese
9/13/20,CL,POST UP,https://youtu.be/voreBU1841U,Girl Solo,Major
9/11/20,Jeonyoul,Mamacita,https://youtu.be/dzl9v_wLHew,Girl Solo,Major
9/10/20,Serri (Dal Shabet),Come On,https://youtu.be/8myz_m8qvF8,Girl,Major
9/10/20,Mamamoo,Wanna Be Myself,https://youtu.be/sk-qyR224fU,Girl,CF
9/10/20,HA:TFELT,La Luna,https://youtu.be/uhrIVVueOCo,Girl Solo,Major
9/7/20,Yooa (Oh My Girl),Bon Voyage,https://youtu.be/AAOOKbk-knM,Girl Solo,Major
